Water Control Zone,Station,Dates,Sample No,Depth,Volatile Suspended Solids mg_L,Unionised Ammonia mg_L,Turbidity NTU,Total Phosphorus mg_L,Total Nitrogen mg_L,Total Kjeldahl Nitrogen mg_L,Total Inorganic Nitrogen mg_L,Temperature C,Suspended Solids mg_L,Silica mg_L,Secchi Disc Depth M,Salinity psu,Phaeo-pigments ug_L,pH,Orthophosphate Phosphorus mg_L,Nitrite Nitrogen mg_L,Nitrate Nitrogen mg_L,Faecal Coliforms cfu_100mL,E. coli cfu_100mL,Dissolved Oxygen mg_L,Dissolved Oxygen per_saturation,Chlorophyll-a ug_L,Ammonia Nitrogen mg_L,5-day Biochemical Oxygen Demand mg_L
Southern,SM10,2018-05-04,1,Surface Water,1,0.005,3.9,0.02,0.71,0.42,0.37,25.2,5.9,0.32,2.5,30.5,2.4,8.2,0.011,0.014,0.28,74,49,6.2,89.0,13,0.078,1.4
Southern,SM10,2018-06-22,1,Surface Water,1.9,0.004,7.1,0.03,1.13,0.57,0.63,28.5,9.6,1.8,2.0,24.4,4.2,8.0,0.013,0.11,0.45,110,88,5.7,84.0,15,0.066,1.1
Southern,SM10,2018-07-26,1,Surface Water,1.7,0.003,1.5,<0.02,0.52,0.25,0.3,30.3,3.9,0.18,2.5,25.9,6.3,8.4,0.007,0.034,0.24,2,1,9.0,138.0,15,0.025,2.1
Southern,SM10,2018-08-13,1,Surface Water,3.6,0.005,4.1,0.04,0.72,0.37,0.47,28.2,12,3.1,2.0,27.7,<0.2,7.9,0.03,0.068,0.28,45,15,4.1,61.0,1.4,0.12,0.4
Southern,SM10,2018-09-13,1,Surface Water,3.6,0.004,6.9,0.04,0.55,0.15,0.47,26.5,19,2.1,1.7,29.2,2,8.1,0.018,0.053,0.35,17,5,5.1,75.0,2.8,0.068,0.5
Southern,SM10,2018-10-22,1,Surface Water,2.3,0.003,2.3,0.03,0.39,0.2,0.26,26.5,8.1,1.3,2.0,31.8,1.5,8.0,0.02,0.055,0.13,<1,<1,5.5,82.0,5.7,0.07,1
Southern,SM10,2018-11-22,1,Surface Water,1.4,0.002,5.7,0.07,0.51,0.31,0.29,23.7,11,0.98,2.0,31.6,0.9,7.8,0.026,0.081,0.12,4,1,5.2,74.0,1.6,0.085,0.7
Southern,SM10,2018-12-10,1,Surface Water,1.3,0.001,5.1,0.04,0.62,0.37,0.3,20.4,8.9,1.5,1.0,32.0,0.3,7.8,0.022,0.067,0.18,12,5,5.6,76.0,2.8,0.048,0.3
Southern,SM10,2019-01-11,1,Surface Water,2,0.003,1.9,0.04,0.47,0.32,0.26,20.0,8.4,1.2,3.0,33.0,1.2,8.0,0.022,0.025,0.12,<1,<1,5.2,70.0,0.9,0.11,0.7
Southern,SM10,2019-02-25,1,Surface Water,1.7,0.001,0.9,0.03,0.55,0.4,0.19,19.8,3.8,0.18,2.6,30.8,1.8,8.0,<0.002,0.008,0.14,3,3,7.2,94.0,15,0.044,1.1
Southern,SM10,2019-03-14,1,Surface Water,<0.5,0.004,2.3,0.03,0.71,0.42,0.42,20.4,3.9,1.1,2.2,29.9,0.7,8.0,0.023,0.016,0.27,24,11,5.9,78.0,0.7,0.13,0.3
Southern,SM10,2019-04-25,1,Surface Water,3.2,0.002,1.3,0.04,0.91,0.33,0.61,26.7,11,2.1,2.1,25.2,3.5,8.1,0.019,0.036,0.54,<1,<1,8.0,116.0,27,0.035,2.2
Southern,SM10,2019-05-17,1,Surface Water,2.6,<0.001,0.8,<0.02,0.48,0.2,0.3,27.3,7.2,0.49,3.5,28.3,2.1,7.9,0.003,0.014,0.27,<1,<1,6.8,100.0,3,0.02,1
Southern,SM10,2019-06-17,1,Surface Water,2.3,<0.001,2.8,0.04,0.67,0.3,0.4,27.5,6.2,2.2,2.2,26.0,8,7.7,0.008,0.043,0.33,6,2,6.5,95.0,31,0.024,2
Southern,SM10,2019-07-12,1,Surface Water,2.5,0.001,8.1,0.03,0.7,0.33,0.39,28.7,5.6,3.1,2.4,23.5,5.4,7.8,0.007,0.046,0.32,95,32,6.3,123.0,44,0.026,3
Southern,SM10,2019-08-15,1,Surface Water,2.4,0.005,2.5,<0.02,0.54,0.2,0.39,29.4,9.8,1.2,2.0,26.4,3.7,8.2,0.008,0.056,0.28,23,6,6.7,102.0,14,0.057,2.1
Southern,SM10,2019-09-05,1,Surface Water,2.2,0.004,6.3,0.05,0.6,0.21,0.46,27.7,9.8,2.9,1.9,27.8,1.1,8.0,0.022,0.065,0.32,16,4,5.8,85.0,4.1,0.074,0.8
Southern,SM10,2019-10-14,1,Surface Water,3.5,0.004,6.7,0.04,0.75,0.52,0.31,29.1,16,1.4,1.5,30.6,1,7.9,0.016,0.079,0.15,57,8,5.5,85.0,6,0.084,0.6
Southern,SM10,2019-11-07,1,Surface Water,1.5,<0.001,3.9,0.05,0.75,0.64,0.12,26.2,4.7,0.83,2.5,32.2,4.4,8.0,0.003,0.076,0.031,<1,<1,6.0,89.0,12,0.015,1.6
Southern,SM10,2019-12-09,1,Surface Water,2,0.004,5.8,0.11,0.23,0.15,0.15,19.7,14,1.1,1.7,33.5,2.3,8.2,0.007,0.022,0.057,8,8,7.2,96.0,2.5,0.075,0.7
Southern,SM10,2020-01-09,1,Surface Water,2.3,0.009,4.4,0.09,1.28,1,0.49,20.6,12,1.5,1.9,31.9,0.7,8.1,0.03,0.022,0.26,22,11,6.3,85.0,1.2,0.21,0.3
Southern,SM10,2020-04-23,1,Surface Water,2.8,0.001,1.8,<0.02,0.3,0.07,0.29,23.0,12,0.43,2.8,29.6,1.7,7.7,0.005,0.012,0.22,5,1,6.7,93.0,<0.2,0.062,0.5
Southern,SM10,2020-05-25,1,Surface Water,1.3,0.002,3.4,0.04,0.85,0.49,0.46,26.1,4.3,1.8,1.8,27.9,2,7.6,0.018,0.042,0.32,5100,1000,5.0,72.0,4.6,0.098,1.1
Southern,SM10,2020-06-04,1,Surface Water,4.4,0.004,14.6,0.04,0.91,0.52,0.45,28.1,14,1.4,2.6,25.3,1.9,8.1,0.006,0.1,0.29,3,<1,6.0,89.0,8.4,0.058,1.3
Southern,SM10,2020-07-08,1,Surface Water,3.8,0.006,4.7,0.05,0.52,0.18,0.42,27.9,16,1.1,2.1,24.6,4.8,8.1,0.009,0.039,0.3,130,55,6.9,100.0,19,0.076,2.2
Southern,SM10,2020-09-30,1,Surface Water,1.4,0.004,6.0,0.07,0.67,0.44,0.32,29.5,6,1.4,1.8,29.7,<0.2,7.9,0.014,0.039,0.19,3,2,5.0,77.0,7.6,0.094,0.7
Southern,SM10,2020-10-15,1,Surface Water,2.4,0.006,7.7,0.05,0.51,0.44,0.21,27.0,15,0.74,1.6,32.4,1.9,7.9,0.016,0.012,0.056,53,22,5.7,86.0,2.1,0.14,0.5
Southern,SM10,2020-11-06,1,Surface Water,1.2,0.001,5.0,0.05,0.85,0.71,0.2,24.6,4.2,0.81,2.4,33.1,2.2,7.7,0.014,0.038,0.1,8,3,6.6,96.0,5.6,0.058,0.5
Southern,SM10,2021-02-19,1,Surface Water,2.6,0.003,3.5,0.05,0.44,0.35,0.19,19.3,12,0.1,2.8,31.1,1.3,8.0,0.007,0.003,0.084,4,3,5.3,70.0,9,0.099,1.4
Southern,SM10,2021-03-01,1,Surface Water,<0.5,0.002,6.1,0.05,1.07,0.97,0.26,20.4,2.4,0.75,2.2,31.4,0.2,7.7,0.011,0.01,0.094,39,16,5.4,72.0,2.5,0.16,0.8
Southern,SM10,2021-04-07,1,Surface Water,0.7,0.001,3.6,0.04,0.43,0.28,0.27,24.0,2.4,0.69,2.9,31.9,0.4,7.5,0.013,0.006,0.14,53,20,4.2,59.0,2.7,0.12,0.5
Southern,SM10,2021-05-05,1,Surface Water,1.3,0.002,3.2,,,,0.46,25.7,5.6,1.2,3.0,29.7,0.5,7.5,0.013,0.038,0.28,9,4,4.4,63.0,12,0.14,2.1
Southern,SM10,2021-06-02,1,Surface Water,<0.5,0.001,4.5,,,,0.52,27.3,2.7,1.8,2.1,26.3,1.7,7.6,0.012,0.089,0.38,180,52,5.8,85.0,5,0.054,0.4
Southern,SM10,2021-07-14,1,Surface Water,1.1,0.002,4.0,,,,0.32,29.2,5.7,0.47,2.5,27.4,2.9,7.6,0.003,0.031,0.21,4,<1,4.5,69.0,12,0.076,1
Southern,SM10,2021-08-06,1,Surface Water,1.1,0.003,4.0,,,,0.3,27.5,1.5,1.5,2.0,29.1,4.1,7.6,0.007,0.034,0.13,120,64,4.7,70.0,15,0.14,3.6
Southern,SM10,2021-09-13,1,Surface Water,0.8,0.004,8.7,,,,0.48,29.0,2.7,1.5,2.0,30.8,3.1,7.9,0.013,0.029,0.37,10,4,5.5,85.0,6.2,0.084,0.8
Southern,SM10,2021-10-06,1,Surface Water,1.6,0.005,16.1,,,,0.31,29.4,14,0.9,1.4,30.4,3.7,7.8,0.016,0.03,0.16,44,7,5.8,90.0,5.8,0.12,0.6
Southern,SM10,2021-11-04,1,Surface Water,1.3,0.001,10.2,0.09,1.14,0.96,0.28,26.2,7.3,0.44,1.9,32.9,2.4,7.5,0.015,0.063,0.12,14,8,5.2,78.0,9.9,0.099,0.8
Southern,SM10,2021-12-01,1,Surface Water,<0.5,<0.001,9.9,0.04,0.51,0.39,0.29,22.5,1,0.6,1.5,33.2,0.4,7.1,0.022,0.032,0.092,23,14,6.4,89.0,3.2,0.17,0.5
Southern,SM10,2022-01-21,1,Surface Water,2.9,<0.001,45.1,0.05,0.75,0.6,0.3,19.2,14,0.86,1.3,33.4,0.9,7.1,0.006,0.03,0.12,44,7,5.6,74.0,2.1,0.15,<0.1
Southern,SM10,2022-02-21,1,Surface Water,1.3,<0.001,6.2,0.03,0.33,0.26,0.2,15.3,5,0.71,2.7,32.0,0.6,7.3,<0.002,0.02,0.047,120,86,6.1,74.0,1.5,0.13,0.7
Southern,SM10,2022-04-04,1,Surface Water,1.1,0.002,32.6,0.04,0.74,0.61,0.3,20.2,6.4,0.96,2.0,31.0,1.6,7.6,<0.002,0.01,0.12,14,9,6.3,83.0,1.4,0.17,0.4
Southern,SM10,2022-05-23,1,Surface Water,0.9,0.004,8.1,0.03,0.57,0.17,0.45,25.2,5.7,0.76,2.1,27.5,2.3,8.2,<0.002,0.015,0.38,81,56,5.8,83.0,6.5,0.058,0.8
Southern,SM10,2022-06-15,1,Surface Water,0.8,0.002,6.6,0.05,0.79,0.14,0.71,26.5,3.2,3.2,2.1,22.9,0.7,7.7,<0.002,0.083,0.57,870,610,4.7,67.0,2.1,0.061,0.5
Southern,SM10,2022-07-07,1,Surface Water,1.2,0.004,7.7,0.05,1.21,0.2,1.14,27.7,3.6,6.2,1.6,17.2,0.3,7.7,<0.002,0.031,0.98,7700,3600,5.4,76.0,0.4,0.13,0.8
Southern,SM10,2022-08-27,1,Surface Water,1.9,<0.001,48.5,0.04,0.35,0.2,0.17,29.3,5.9,0.54,1.4,27.9,4.2,7.5,<0.002,0.019,0.13,54,15,4.9,74.0,20,0.019,2.6
Southern,SM10,2022-09-15,1,Surface Water,1.8,0.002,101.2,0.1,0.7,0.49,0.32,29.2,11,1.4,1.3,30.8,2.7,7.5,0.011,0.026,0.18,27,11,4.2,65.0,4,0.11,0.3
Southern,SM10,2022-10-06,1,Surface Water,1.6,0.004,4.1,0.08,0.47,0.16,0.39,29.0,12,1.3,1.2,30.8,3.5,7.9,0.021,0.078,0.23,8,4,7.0,108.0,4.7,0.081,0.4
Southern,SM10,2022-11-21,1,Surface Water,1.6,<0.001,37.6,0.1,0.94,0.71,0.28,25.0,5.4,0.65,2.3,32.4,3.9,7.6,<0.002,0.032,0.2,11,2,6.9,101.0,15,0.046,1.5
Southern,SM10,2022-12-12,1,Surface Water,1.4,0.003,1.9,0.06,0.94,0.86,0.2,21.1,9.2,0.79,1.8,32.9,<0.2,7.8,<0.002,0.01,0.073,320,260,5.7,78.0,1.4,0.12,0.3
Southern,SM11,2015-01-08,1,Surface Water,0.7,0.001,5.4,<0.02,0.38,0.34,0.08,18.4,1.5,0.09,4.3,32.0,<0.2,8.1,0.007,0.005,0.033,<1,<1,5.2,68.0,2.5,0.043,1.1
Southern,SM11,2015-02-11,1,Surface Water,0.9,0.001,1.5,<0.02,0.5,0.38,0.18,17.3,2.1,0.06,4.5,31.4,2.5,8.0,0.006,0.012,0.11,23,<1,7.0,88.0,5.3,0.053,1.1
Southern,SM11,2015-03-12,1,Surface Water,0.9,0.002,2.5,0.03,0.55,0.38,0.31,18.4,2.5,0.64,2.2,32.0,1.8,7.7,0.019,0.012,0.16,3,2,7.1,91.0,1.6,0.14,1.3
Southern,SM11,2015-04-22,1,Surface Water,0.9,0.002,2.5,0.03,0.47,0.24,0.32,23.7,2.1,0.61,2.7,31.5,<0.2,7.8,0.004,0.018,0.21,2,1,6.6,94.0,2.9,0.093,0.6
Southern,SM11,2015-05-15,1,Surface Water,1.2,0.006,2.9,0.04,0.8,0.4,0.49,27.4,2.8,0.56,2.5,27.9,2,8.1,0.005,0.043,0.36,1,<1,7.1,105.0,12,0.09,1.7
Southern,SM11,2015-06-22,1,Surface Water,1.4,0.003,3.1,<0.02,0.81,0.28,0.55,29.1,3,2.1,2.2,20.2,0.9,8.4,0.009,0.022,0.51,220,15,9.0,130.0,12,0.019,2.2
Southern,SM11,2015-07-02,1,Surface Water,1.8,0.004,3.3,0.05,0.67,0.4,0.3,29.0,4,0.65,1.5,23.9,7.1,8.4,0.006,0.028,0.24,4,<1,9.6,142.0,25,0.03,3.6
Southern,SM11,2015-08-10,1,Surface Water,2.9,0.001,4.7,0.09,0.59,0.45,0.18,26.8,3.5,0.63,2.5,30.1,8.6,7.9,0.004,0.02,0.12,28,12,7.1,105.0,37,0.037,6.4
Southern,SM11,2015-09-14,1,Surface Water,1.3,0.003,4.9,0.06,0.8,0.51,0.35,27.5,6.4,2.1,2.0,29.7,3.3,8.0,0.015,0.048,0.24,1,<1,6.2,93.0,5.5,0.061,1.5
Southern,SM11,2015-10-28,1,Surface Water,<0.5,0.005,3.3,0.05,0.77,0.6,0.21,27.2,1.7,0.36,2.0,31.1,1.5,8.4,0.012,0.045,0.12,8,4,6.6,99.0,10,0.047,0.5
Southern,SM11,2015-11-13,1,Surface Water,1.4,0.002,7.3,0.07,0.52,0.32,0.29,25.7,9.1,1.1,2.0,31.9,1.1,7.7,0.026,0.067,0.13,2,<1,4.9,72.0,1.9,0.092,0.5
Southern,SM11,2015-12-10,1,Surface Water,1,<0.001,7.2,0.04,0.34,0.15,0.22,21.5,8.1,1.2,2.0,32.6,0.9,7.7,0.02,0.071,0.12,10,3,3.6,49.0,1.3,0.033,1
Southern,SM11,2016-01-08,1,Surface Water,1.2,0.001,2.6,0.04,0.81,0.55,0.35,20.5,2.4,1,4.0,31.3,0.9,7.6,0.02,0.028,0.23,<1,<1,7.4,98.0,4.3,0.094,0.8
Southern,SM11,2016-02-25,1,Surface Water,0.9,<0.001,3.6,0.05,0.84,0.63,0.32,15.6,1,0.77,3.0,30.9,1,7.5,0.019,0.017,0.19,1,1,7.7,93.0,3.3,0.11,0.8
Southern,SM11,2016-03-19,1,Surface Water,3.9,0.004,3.1,0.08,0.72,0.63,0.24,17.1,4.8,0.96,3.0,31.0,15,8.0,0.028,0.004,0.083,16,10,7.8,98.0,22,0.15,7.7
Southern,SM11,2016-04-20,1,Surface Water,1.1,0.005,1.8,0.03,0.55,0.22,0.52,20.8,3,2.1,2.2,28.3,0.4,7.9,0.025,0.033,0.3,17,12,6.3,84.0,0.5,0.19,0.5
Southern,SM11,2016-05-16,1,Surface Water,1.6,<0.001,1.5,0.06,0.48,0.15,0.37,24.6,4.2,1.3,3.0,27.4,3.2,7.7,0.022,0.033,0.3,1,1,6.4,90.0,9.7,0.037,1.5
Southern,SM11,2016-06-17,1,Surface Water,3.2,0.012,3.0,0.2,1.01,0.44,0.62,29.2,7.2,1.3,2.5,19.5,11,8.6,0.002,0.069,0.5,13,3,10.7,156.0,47,0.053,3.7
Southern,SM11,2016-07-22,1,Surface Water,2.3,0.002,4.7,0.23,1.37,1.1,0.3,26.5,6.7,2.2,1.9,27.8,5.6,8.1,0.007,0.025,0.24,22,11,6.2,90.0,31,0.037,2.3
Southern,SM11,2016-08-17,1,Surface Water,0.7,0.003,4.4,0.07,1.34,1.1,0.33,26.1,3.7,1.9,2.5,29.3,2,7.9,0.023,0.046,0.19,20,<1,5.2,75.0,6.6,0.094,1.1
Southern,SM11,2016-09-21,1,Surface Water,1.6,0.004,6.1,0.09,0.48,0.23,0.32,28.4,7,2.2,2.5,30.2,1.2,8.1,0.025,0.039,0.21,3,<1,5.1,77.0,3.4,0.067,0.9
Southern,SM11,2016-10-14,1,Surface Water,1.7,0.002,5.5,0.04,0.73,0.64,0.12,27.9,5.8,0.28,2.5,32.3,1.3,8.1,0.009,0.024,0.07,<1,<1,7.3,111.0,11,0.026,1
Southern,SM11,2016-11-14,1,Surface Water,1.3,0.002,8.3,0.03,0.52,0.35,0.24,25.5,6.2,1.1,2.5,31.1,1.1,7.7,0.015,0.06,0.11,1,<1,5.5,80.0,3.5,0.071,0.9
Southern,SM11,2016-12-14,1,Surface Water,2.9,0.002,4.2,0.03,0.49,0.45,0.07,22.7,11,0.08,1.8,31.2,5.3,8.2,0.003,0.007,0.029,1,<1,9.0,125.0,25,0.03,1.7
Southern,SM11,2017-01-14,1,Surface Water,4.5,0.005,6.3,0.05,0.61,0.48,0.29,19.5,28,0.59,2.0,30.2,1.3,8.0,0.02,0.016,0.11,8,2,6.4,84.0,1.9,0.16,0.2
Southern,SM11,2017-02-16,1,Surface Water,0.7,0.001,4.4,0.06,0.63,0.38,0.36,18.8,3.8,1.7,2.5,30.9,0.9,7.6,0.03,0.027,0.22,<1,<1,7.0,90.0,0.6,0.11,0.7
Southern,SM11,2017-03-09,1,Surface Water,0.8,0.001,3.1,0.02,0.41,0.27,0.22,17.9,2.2,0.6,3.4,31.4,2.5,7.7,0.015,0.011,0.13,1,1,7.6,96.0,3,0.079,1
Southern,SM11,2017-04-20,1,Surface Water,1.2,0.001,2.3,0.02,0.61,0.31,0.37,24.6,7.8,0.97,4.5,29.3,0.4,7.5,0.005,0.02,0.28,3,<1,7.6,108.0,2.4,0.068,0.8
Southern,SM11,2017-05-18,1,Surface Water,1,0.005,1.6,0.02,0.55,0.17,0.45,26.1,2.7,1.2,3.0,29.0,3.2,8.1,0.004,0.026,0.35,7,<1,6.6,96.0,3.6,0.074,1.4
Southern,SM11,2017-06-16,1,Surface Water,0.8,0.003,2.3,0.17,0.72,0.19,0.61,28.0,3.9,1.8,2.0,25.2,1,7.9,0.011,0.048,0.48,18,4,5.5,81.0,1.8,0.078,0.4
Southern,SM11,2017-07-19,1,Surface Water,2,0.003,2.7,0.04,0.79,0.17,0.68,27.5,7.6,2,3.0,18.7,0.8,8.0,0.016,0.044,0.58,110,35,6.3,88.0,11,0.052,1.6
Southern,SM11,2017-08-16,1,Surface Water,2.5,0.013,1.8,0.13,0.65,0.42,0.3,29.3,4.9,0.65,2.5,25.5,6.6,8.6,0.005,0.04,0.19,2,<1,10.7,160.0,38,0.069,3.9
Southern,SM11,2017-09-15,1,Surface Water,2.5,0.002,2.4,0.05,0.52,0.23,0.33,29.0,8.4,0.34,2.0,26.7,2.4,7.9,0.009,0.061,0.23,2,<1,9.2,138.0,14,0.035,2.1
Southern,SM11,2017-10-16,1,Surface Water,1.7,0.002,6.5,0.03,0.8,0.67,0.2,27.5,9,1.6,2.0,31.8,1,7.7,0.02,0.051,0.077,35,14,5.8,88.0,1.3,0.07,0.9
Southern,SM11,2017-11-10,1,Surface Water,3.4,0.003,4.3,0.04,0.63,0.52,0.19,25.5,21,0.78,2.0,32.9,1.2,7.9,0.023,0.029,0.081,4,1,5.3,78.0,1.5,0.08,0.8
Southern,SM11,2017-12-16,1,Surface Water,1.9,0.002,4.5,0.04,0.53,0.35,0.3,20.4,14,1.3,1.6,33.0,1.5,7.8,0.031,0.024,0.16,6,6,6.7,90.0,1.7,0.12,1
Southern,SM11,2018-01-15,1,Surface Water,2,<0.001,9.6,0.03,0.53,0.31,0.24,16.6,10,0.83,2.5,32.2,2.4,8.2,0.015,0.015,0.2,<1,<1,8.3,103.0,6.8,0.024,0.9
Southern,SM11,2018-02-21,1,Surface Water,2.2,0.001,3.5,0.03,0.72,0.6,0.24,17.2,12,0.63,2.1,32.3,1.5,7.6,0.02,0.014,0.11,5,3,7.3,92.0,1.5,0.12,0.7
Southern,SM11,2018-03-21,1,Surface Water,1.3,0.001,4.2,0.02,0.59,0.4,0.31,19.5,7.3,0.68,2.0,31.5,1.3,7.6,0.019,0.005,0.18,2,1,6.6,87.0,0.6,0.12,0.7
Southern,SM11,2018-04-19,1,Surface Water,2.1,0.005,3.1,0.03,1.11,0.97,0.25,23.2,11,0.75,3.0,32.3,0.4,8.1,0.017,0.002,0.14,1,<1,5.8,81.0,1.4,0.11,0.5
Southern,SM11,2018-05-04,1,Surface Water,1.4,0.004,2.7,<0.02,1.46,1.2,0.32,25.4,5,0.15,3.0,30.8,2.7,8.2,0.008,0.008,0.25,7,5,6.9,100.0,16,0.059,1.4
Southern,SM11,2018-06-22,1,Surface Water,1.8,0.003,3.1,0.02,0.72,0.29,0.47,28.9,5.2,1.3,2.5,26.1,7,8.2,0.006,0.089,0.34,24,13,7.3,110.0,24,0.038,1.5
Southern,SM11,2018-07-26,1,Surface Water,1.7,0.004,1.1,<0.02,0.56,0.26,0.33,30.4,3.9,0.22,2.5,26.1,4.8,8.3,0.007,0.038,0.26,1,<1,8.2,125.0,13,0.029,2
Southern,SM11,2018-08-13,1,Surface Water,2.4,0.005,2.7,0.04,0.58,0.23,0.47,28.7,7,2.7,2.0,27.8,0.5,7.9,0.022,0.067,0.28,9,3,4.7,70.0,1,0.12,0.5
Southern,SM11,2018-09-13,1,Surface Water,4.2,0.004,6.3,0.04,0.5,0.15,0.42,26.8,18,2.1,1.9,29.4,3.3,8.1,0.014,0.051,0.3,86,37,5.7,85.0,5.5,0.067,1
Southern,SM11,2018-10-22,1,Surface Water,2.5,0.002,4.4,0.03,0.35,0.16,0.23,26.1,11,1.5,2.0,31.9,2.1,8.0,0.018,0.05,0.14,1,1,6.2,92.0,11,0.042,0.8
Southern,SM11,2018-11-22,1,Surface Water,1.1,0.001,4.3,0.04,0.5,0.3,0.25,23.9,7.2,1.1,2.0,32.2,1,7.7,0.025,0.088,0.11,5,4,5.5,78.0,1.3,0.055,1
Southern,SM11,2018-12-10,1,Surface Water,1.7,0.001,6.6,0.04,0.48,0.3,0.23,21.1,11,1,1.0,31.6,0.8,7.9,0.017,0.054,0.13,12,5,5.7,77.0,4,0.049,0.3
Southern,SM11,2019-01-11,1,Surface Water,1.9,0.002,1.8,0.03,0.39,0.26,0.21,19.6,8.2,1.1,3.0,33.0,1.1,8.0,0.019,0.022,0.11,1,<1,5.9,79.0,1.1,0.074,0.5
Southern,SM11,2019-02-25,1,Surface Water,1.6,<0.001,0.7,0.03,0.6,0.5,0.12,19.9,2.6,0.11,3.1,31.1,2,8.1,<0.002,0.006,0.091,2,1,8.3,109.0,15,0.022,1.9
Southern,SM11,2019-03-14,1,Surface Water,<0.5,0.005,2.6,0.03,0.64,0.4,0.38,20.4,5,0.97,2.5,30.4,1.3,8.0,0.023,0.014,0.23,17,7,6.4,85.0,0.5,0.14,0.3
Southern,SM11,2019-04-25,1,Surface Water,3.8,0.003,1.0,0.04,0.8,0.37,0.47,26.3,14,1.5,2.3,26.4,4.6,8.2,0.017,0.03,0.4,1,1,7.0,101.0,28,0.042,2.2
Southern,SM11,2019-05-17,1,Surface Water,3.2,<0.001,0.8,<0.02,0.47,0.21,0.28,26.9,11,0.44,3.0,28.6,1.7,7.9,<0.002,0.012,0.25,3,2,6.0,88.0,5.5,0.02,1.2
Southern,SM11,2019-06-17,1,Surface Water,2.7,<0.001,3.5,0.04,0.66,0.34,0.34,27.9,7.6,1.9,2.0,26.2,10,7.8,0.007,0.037,0.28,3,1,7.8,116.0,32,0.02,2.5
Southern,SM11,2019-07-12,1,Surface Water,2.6,0.003,8.1,0.03,0.68,0.37,0.36,29.2,5.3,1.8,2.3,23.3,6.5,7.9,0.006,0.043,0.27,5,3,6.0,148.0,53,0.05,3.8
Southern,SM11,2019-08-15,1,Surface Water,2.7,0.006,2.3,<0.02,0.43,0.22,0.26,29.6,8.2,0.57,2.2,26.8,7,8.3,0.005,0.037,0.17,13,<1,8.2,125.0,15,0.05,2.2
Southern,SM11,2019-09-05,1,Surface Water,2,0.003,4.0,0.05,0.61,0.23,0.44,27.8,9,2.7,2.5,27.8,1.6,8.1,0.017,0.063,0.32,8,1,5.9,87.0,6,0.054,1.1
Southern,SM11,2019-10-14,1,Surface Water,3.7,0.002,5.1,0.04,0.7,0.49,0.25,29.2,17,1.5,2.4,30.5,<0.2,7.9,0.014,0.074,0.14,21,<1,5.7,88.0,8.6,0.034,0.7
Southern,SM11,2019-11-07,1,Surface Water,1.6,0.001,3.9,0.04,1.06,0.94,0.15,26.0,4.8,0.83,2.7,32.2,3.8,8.0,0.008,0.036,0.08,5,<1,5.8,85.0,10,0.032,1.3
Southern,SM11,2019-12-09,1,Surface Water,1.8,0.003,5.4,0.11,0.27,0.21,0.14,19.3,14,1.1,1.8,33.5,2.1,8.1,0.004,0.027,0.032,1,<1,6.7,89.0,2.7,0.077,0.5
Southern,SM11,2020-01-09,1,Surface Water,2.7,0.007,4.7,0.09,1.07,0.79,0.47,20.8,14,1.7,1.8,32.0,1.2,8.0,0.035,0.023,0.26,2,1,6.7,90.0,2.2,0.19,0.8
Southern,SM11,2020-04-23,1,Surface Water,2.6,0.001,1.8,<0.02,0.32,0.1,0.28,23.3,11,0.32,2.9,29.6,0.8,7.7,0.006,0.012,0.21,1,<1,6.6,92.0,0.9,0.054,0.6
Southern,SM11,2020-05-25,1,Surface Water,1.2,0.002,3.4,0.04,0.77,0.48,0.4,26.0,4.4,1.6,2.4,28.7,3.1,7.5,0.024,0.048,0.24,66,18,4.6,66.0,3.6,0.11,1.1
Southern,SM11,2020-06-04,1,Surface Water,4.2,0.005,4.9,0.02,0.69,0.42,0.32,28.6,17,0.12,2.5,25.9,4.7,8.2,0.005,0.06,0.21,2,1,5.6,83.0,16,0.049,2.2
Southern,SM11,2020-07-08,1,Surface Water,4.4,0.01,3.0,0.04,0.39,0.23,0.24,28.6,15,0.07,2.0,25.1,4.7,8.4,0.01,0.024,0.14,11,1,8.8,131.0,24,0.071,3.3
Southern,SM11,2020-09-30,1,Surface Water,1.3,0.005,5.4,0.09,0.7,0.49,0.32,29.0,5.7,1.4,2.3,30.2,<0.2,7.9,0.016,0.038,0.17,7,3,5.2,80.0,8.2,0.11,0.7
Southern,SM11,2020-10-15,1,Surface Water,1.1,0.007,6.6,0.05,0.29,0.23,0.21,27.1,7.1,0.74,2.1,32.4,1.9,8.0,0.021,0.012,0.05,30,6,5.9,88.0,1.5,0.15,0.5
Southern,SM11,2020-11-06,1,Surface Water,1.6,0.001,4.0,0.05,0.83,0.69,0.18,24.7,3.1,0.67,1.9,33.1,1.9,7.8,0.013,0.04,0.095,3,<1,6.6,96.0,7.3,0.042,0.7
Southern,SM11,2021-02-19,1,Surface Water,2,0.002,3.0,0.05,0.46,0.4,0.11,19.9,9.4,0.14,2.9,31.5,0.3,8.0,0.008,<0.002,0.057,<1,<1,5.7,76.0,7.1,0.052,1.4
Southern,SM11,2021-03-01,1,Surface Water,0.8,0.003,5.6,0.04,0.68,0.59,0.23,20.5,3.1,0.72,2.2,31.6,<0.2,7.8,0.008,0.008,0.08,<1,<1,5.1,69.0,1.8,0.14,0.7
