Water Control Zone,Station,Dates,Sample No,Depth,Volatile Suspended Solids mg_L,Unionised Ammonia mg_L,Turbidity NTU,Total Phosphorus mg_L,Total Nitrogen mg_L,Total Kjeldahl Nitrogen mg_L,Total Inorganic Nitrogen mg_L,Temperature C,Suspended Solids mg_L,Silica mg_L,Secchi Disc Depth M,Salinity psu,Phaeo-pigments ug_L,pH,Orthophosphate Phosphorus mg_L,Nitrite Nitrogen mg_L,Nitrate Nitrogen mg_L,Faecal Coliforms cfu_100mL,E. coli cfu_100mL,Dissolved Oxygen mg_L,Dissolved Oxygen per_saturation,Chlorophyll-a ug_L,Ammonia Nitrogen mg_L,5-day Biochemical Oxygen Demand mg_L
Deep Bay,DM1,2018-04-11,1,Surface Water,19,0.003,33.7,0.18,2.85,0.86,2.44,24.4,26,3.8,1.0,16.6,6.7,7.1,0.1,0.093,1.9,770,390,8.5,112.0,7.3,0.45,3.3
Deep Bay,DM1,2018-05-09,1,Surface Water,9,<0.001,29.9,0.36,5.52,4,1.54,26.7,34,5.5,1.5,7.0,4.4,6.9,0.19,0.32,1.2,600000,200000,1.5,20.0,9,0.016,4
Deep Bay,DM1,2018-06-15,1,Surface Water,3,0.008,14.9,0.26,2.96,1.8,2.46,28.9,21,9,1.0,8.3,3.7,6.9,0.24,0.59,0.57,7500,3500,3.1,42.0,4.6,1.3,1.9
Deep Bay,DM1,2018-07-04,1,Surface Water,9,0.026,43.5,0.34,4.8,2.7,4,29.6,59,18,1.2,3.2,7.8,7.2,0.32,1,1.1,17000,8700,4.1,55.0,3.7,1.9,4
Deep Bay,DM1,2018-08-01,1,Surface Water,4.3,0.005,22.1,0.33,2.57,0.83,2.14,31.6,28,11,1.5,10.5,3.1,7.1,0.21,0.95,0.79,360,210,3.4,49.0,2.2,0.4,2.4
Deep Bay,DM1,2018-09-10,1,Surface Water,3.4,0.01,13.4,0.21,3.21,1.6,2.61,28.8,22,11,1.2,9.1,3.5,7.1,0.099,0.61,1,1800,1100,4.3,58.0,2.6,1,1.9
Deep Bay,DM1,2018-10-08,1,Surface Water,5.7,0.009,12.9,0.23,3.42,1.4,2.48,28.7,28,9,1.0,15.7,4.4,7.5,0.16,0.42,1.6,980,480,3.5,50.0,5.6,0.46,2
Deep Bay,DM1,2018-11-07,1,Surface Water,5.9,0.006,12.8,0.2,2.33,0.59,2.17,25.8,29,5.7,1.0,21.5,2.5,7.5,0.16,0.14,1.6,110,49,4.8,66.0,1.9,0.43,0.8
Deep Bay,DM1,2018-12-08,1,Surface Water,6.1,0.004,38.2,0.3,3.18,1,2.65,20.8,57,8.6,1.0,18.0,3.8,7.4,0.22,0.18,2,880,440,4.8,60.0,1.6,0.47,1.6
Deep Bay,DM1,2019-01-09,1,Surface Water,6.4,0.004,21.9,0.22,4.03,1.2,3.42,18.9,36,6.4,1.0,19.4,4.2,7.3,0.14,0.13,2.7,950,490,6.1,73.0,4.5,0.59,1.5
Deep Bay,DM1,2019-02-23,1,Surface Water,41,0.004,134.4,0.74,3.66,1.7,2.47,21.3,360,4.8,0.9,16.6,16,7.3,0.13,0.16,1.8,1000,640,5.1,63.0,5,0.51,3.8
Deep Bay,DM1,2019-03-08,1,Surface Water,7.2,0.006,20.2,0.22,2.81,1.1,2.4,20.1,42,5.1,1.3,15.9,2.4,7.4,0.17,0.11,1.6,13000,6800,5.9,72.0,1.1,0.69,1.3
Deep Bay,DM1,2019-04-24,1,Surface Water,14,0.025,27.9,0.29,3.28,2,2.38,27.9,53,3.7,0.7,9.1,5.2,7.5,0.17,0.28,1,3400,2600,4.2,56.0,6.1,1.1,3.2
Deep Bay,DM1,2019-05-23,1,Surface Water,9.4,0.01,42.7,0.27,2.14,0.91,1.51,28.3,66,1.6,1.0,12.4,7.6,7.7,0.14,0.13,1.1,2200,1100,5.4,74.0,9.9,0.28,1.9
Deep Bay,DM1,2019-06-24,1,Surface Water,6.5,0.016,28.3,0.31,3.07,1.1,2.55,29.9,40,13,1.0,4.7,8.5,7.5,0.23,0.67,1.3,490,240,4.6,62.0,2.3,0.58,2.6
Deep Bay,DM1,2019-07-19,1,Surface Water,5.4,0.004,17.4,0.28,2.49,0.65,1.9,32.6,25,11,1.0,4.6,8.1,7.8,0.19,0.54,1.3,250,88,5.2,74.0,6.4,0.058,2
Deep Bay,DM1,2019-08-02,1,Surface Water,3.2,0.012,27.6,0.17,2.49,1.6,1.82,26.9,21,7.3,0.9,4.3,2.8,7.3,0.11,0.12,0.77,130000,59000,4.3,55.0,1.2,0.93,1.6
Deep Bay,DM1,2019-09-16,1,Surface Water,2.9,0.005,14.0,0.21,1.68,0.55,1.38,31.4,17,7.7,1.3,13.0,4.9,7.3,0.15,0.15,0.98,1700,580,5.9,86.0,5.1,0.25,1.1
Deep Bay,DM1,2019-10-16,1,Surface Water,2.8,0.006,16.1,0.21,2.01,0.68,1.64,27.8,21,6.5,1.0,19.6,<0.2,7.5,0.16,0.13,1.2,290,78,5.4,77.0,4,0.31,0.6
Deep Bay,DM1,2019-11-14,1,Surface Water,7.3,0.004,40.6,0.3,2.14,0.55,1.77,23.4,52,5.1,0.8,21.7,7.3,7.7,0.14,0.085,1.5,390,100,5.9,78.0,3.5,0.18,1
Deep Bay,DM1,2019-12-14,1,Surface Water,11,0.01,46.1,0.15,3.18,0.98,2.68,19.7,98,5.2,1.2,19.6,6.8,7.8,0.12,0.099,2.1,3100,1100,7.7,95.0,3.4,0.48,2.2
Deep Bay,DM1,2020-01-11,1,Surface Water,6.5,0.005,22.1,0.22,2.5,0.82,1.98,21.2,36,5.4,1.1,20.1,6.1,7.7,0.13,0.084,1.6,900,790,7.8,99.0,8.9,0.3,1.4
Deep Bay,DM1,2020-04-08,1,Surface Water,6,0.005,18.7,0.19,2.61,0.9,2.32,20.8,32,6.2,1.2,18.0,3.3,7.3,0.13,0.11,1.6,1200,660,5.3,66.0,2.5,0.61,3.1
Deep Bay,DM1,2020-05-08,1,Surface Water,4.4,0.004,24.2,0.21,2.0,0.72,1.47,29.8,47,3.1,0.9,14.7,5.2,7.4,0.12,0.076,1.2,55,12,4.6,65.0,5.8,0.19,1.3
Deep Bay,DM1,2020-06-11,1,Surface Water,9.2,0.014,41.4,0.34,2.91,1.7,2.18,30.0,56,9.7,0.8,1.6,7.2,7.3,0.22,0.31,0.9,2800,1600,5.5,73.0,8.3,0.97,2.4
Deep Bay,DM1,2020-07-06,1,Surface Water,4.2,0.012,13.3,0.26,2.13,0.65,1.71,31.2,19,3.9,1.0,6.0,12,7.8,0.14,0.18,1.3,560,130,7.5,105.0,6.6,0.23,2
